row_id,timestamp,animal_id,behavior,anomaly,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,heart_rate_bpm,temperature_c
1,01-01-2025 00:00,cow_7,ruminating,0,-0.526,0.186,0.835,0.76,-3.2,5.14,74,37.8
2,01-01-2025 00:01,cow_20,ruminating,0,0.085,-0.374,0.918,7.37,-0.53,-5.47,69,38.37
3,01-01-2025 00:02,cow_15,grazing,1,1.725,0.769,1.265,106.86,95.88,62.37,75,39.13
4,01-01-2025 00:03,cow_11,resting,0,0.264,0.04,1.393,1.25,1.57,-2.5,76,38.68
5,01-01-2025 00:04,cow_8,grazing,0,0.023,0.291,1.111,-0.64,4.89,1.97,45,38.35
6,01-01-2025 00:05,cow_7,grazing,0,-0.342,-0.241,1.212,10.89,2.7,-5.67,57,38.73
7,01-01-2025 00:06,cow_19,grazing,0,0.072,0.351,1.178,-8.3,3.18,-6.48,66,38.62
8,01-01-2025 00:07,cow_11,walking,0,0.297,-0.048,0.801,-6.28,-5.34,-5.33,75,38.96
9,01-01-2025 00:08,cow_11,walking,0,0.364,0.856,0.876,5.63,-0.95,3.82,56,38.27
10,01-01-2025 00:09,cow_4,walking,0,-0.432,0.383,0.726,9.08,-4.98,-9.68,78,38.91
11,01-01-2025 00:10,cow_8,grazing,0,-0.018,0.214,1.095,0.77,0.63,-4.51,69,38.62
12,01-01-2025 00:11,cow_3,resting,0,0.158,0.122,1.32,-0.12,0.73,14.63,74,38.72
13,01-01-2025 00:12,cow_2,resting,0,-0.05,-0.469,0.985,10.8,-6.72,-5.35,80,38.68
14,01-01-2025 00:13,cow_12,grazing,0,-0.143,-0.515,0.441,-2.32,-1.8,2.87,85,38.23
15,01-01-2025 00:14,cow_6,resting,0,0.236,0.174,0.559,-7.16,4.27,8.19,67,38.39
16,01-01-2025 00:15,cow_2,ruminating,0,-0.277,0.22,1.471,-2.6,1,-4.51,81,38.68
17,01-01-2025 00:16,cow_1,ruminating,0,0.229,0.272,1.109,-2.61,4.35,1.37,78,38.1
18,01-01-2025 00:17,cow_12,resting,0,0.182,0.15,0.963,4.81,5.99,-0.32,66,38.33
19,01-01-2025 00:18,cow_12,grazing,1,2.071,3.376,1.176,90.89,153.3,69.84,64,37.91
20,01-01-2025 00:19,cow_17,ruminating,0,0.363,-0.042,1.106,-1.06,8.53,5.01,67,37.72
21,01-01-2025 00:20,cow_10,resting,0,0.003,-0.033,1.02,1.7,4.11,-2.57,70,37.64
22,01-01-2025 00:21,cow_16,ruminating,0,0.124,0.05,0.995,0.68,-1.83,0.57,79,38.06
23,01-01-2025 00:22,cow_15,grazing,0,0.136,-0.407,1.342,-1.83,10.9,-0.87,81,38.5
24,01-01-2025 00:23,cow_15,walking,0,0.603,0.637,0.537,0.93,-1.29,-1.64,57,38.8
25,01-01-2025 00:24,cow_19,grazing,0,0.22,0.131,0.961,2.09,4.08,-1.3,66,39.05
26,01-01-2025 00:25,cow_12,ruminating,0,-0.061,0.024,0.964,-12.68,3.72,2.66,69,39
27,01-01-2025 00:26,cow_20,resting,0,0.013,-0.394,0.781,-0.84,-3.6,6.03,84,39.2
28,01-01-2025 00:27,cow_3,grazing,0,0.101,0.118,0.901,1.06,-1.31,-3.27,65,38.34
29,01-01-2025 00:28,cow_5,resting,0,-0.081,-0.188,0.997,2.66,-7.09,1.99,63,38.74
30,01-01-2025 00:29,cow_19,ruminating,0,0.147,0.077,1.197,-5.82,-6.9,4.32,64,39.26
31,01-01-2025 00:30,cow_7,grazing,0,-0.367,0.46,1.457,-9.84,-0.02,-1.8,76,37.62
32,01-01-2025 00:31,cow_9,resting,0,-0.139,0.011,1.002,-5.17,3.9,3.07,64,38.04
33,01-01-2025 00:32,cow_7,grazing,0,-0.379,0.058,0.886,-2.92,-1.04,9.27,81,39.69
34,01-01-2025 00:33,cow_18,grazing,0,0.308,-0.105,0.526,0.67,-1.87,1.95,65,38.18
35,01-01-2025 00:34,cow_4,resting,0,-0.048,0.066,1.237,3.11,2.11,3.18,69,37.85
36,01-01-2025 00:35,cow_14,grazing,0,-0.123,-0.015,1.074,11.74,0.85,-3.24,79,37.78
37,01-01-2025 00:36,cow_18,grazing,0,0.292,-0.026,1.079,2.84,-0.17,0.03,67,38.14
38,01-01-2025 00:37,cow_9,resting,0,0.045,-0.086,1.358,-0.83,-4.82,0.98,65,38.78
39,01-01-2025 00:38,cow_2,grazing,0,0.167,-0.028,0.842,-2.27,-1.58,2.82,87,37.91
40,01-01-2025 00:39,cow_20,grazing,0,0.03,-0.161,1.315,-0.94,-2.46,0.1,69,39.14
41,01-01-2025 00:40,cow_15,grazing,0,0.048,-0.126,0.945,0.39,1.51,-3.65,68,38.01
42,01-01-2025 00:41,cow_7,ruminating,1,1.636,1.778,0.743,79.26,84.54,85.99,72,38.9
43,01-01-2025 00:42,cow_12,grazing,0,-0.126,0.241,0.973,3.07,-6.72,-1.6,69,38.16
44,01-01-2025 00:43,cow_8,resting,0,0.274,-0.261,1.041,11.81,0.55,1.39,83,39.36
45,01-01-2025 00:44,cow_15,resting,0,-0.031,0.094,1.066,1.92,-4.18,-2.15,66,38.55
46,01-01-2025 00:45,cow_3,resting,0,0.249,0.041,1.531,2.43,-0.12,9.98,50,38.78
47,01-01-2025 00:46,cow_14,grazing,0,0.469,0.218,1.132,4.6,-0.91,7.64,72,38.57
48,01-01-2025 00:47,cow_17,resting,1,1.267,1.778,2.758,66.71,121.27,88.35,62,39.16
49,01-01-2025 00:48,cow_4,grazing,0,-0.156,0.223,1.119,-3.76,-1.68,-4.06,69,38.17
50,01-01-2025 00:49,cow_18,ruminating,0,-0.059,-0.141,1.081,-2.07,7.47,-7.79,86,38.42
51,01-01-2025 00:50,cow_8,grazing,0,0.006,-0.173,0.474,-9.08,-1.85,1.57,74,37.8
52,01-01-2025 00:51,cow_4,drinking,0,0.004,0.14,0.844,-4.31,1.98,-1.59,73,38.93
53,01-01-2025 00:52,cow_2,ruminating,0,0.026,-0.208,1.171,1.53,-4.31,-0.2,70,38.58
54,01-01-2025 00:53,cow_6,grazing,0,0.313,0.19,0.909,-1.32,-4.73,-3.19,76,38.82
55,01-01-2025 00:54,cow_10,ruminating,0,-0.17,0.135,0.666,-7.82,-3.82,-4.06,84,38.36
56,01-01-2025 00:55,cow_4,resting,0,0.074,-0.228,1.357,0.9,1.72,-2.9,78,38.21
